,label,text,source
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",sms-spam-dataset
1,ham,Ok lar... Joking wif u oni...,sms-spam-dataset
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,sms-spam-dataset
3,ham,U dun say so early hor... U c already then say...,sms-spam-dataset
4,ham,"Nah I don't think he goes to usf, he lives around here though",sms-spam-dataset
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",sms-spam-dataset
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.,sms-spam-dataset
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,sms-spam-dataset
8,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,sms-spam-dataset
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,sms-spam-dataset
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",sms-spam-dataset
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",sms-spam-dataset
12,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",sms-spam-dataset
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,sms-spam-dataset
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,sms-spam-dataset
15,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",sms-spam-dataset
16,ham,Oh k...i'm watching here:),sms-spam-dataset
17,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,sms-spam-dataset
18,ham,Fine if thats the way u feel. Thats the way its gota b,sms-spam-dataset
19,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",sms-spam-dataset
20,ham,Is that seriously how you spell his name?,sms-spam-dataset
21,ham,I‘m going to try for 2 months ha ha only joking,sms-spam-dataset
22,ham,So ü pay first lar... Then when is da stock comin...,sms-spam-dataset
23,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,sms-spam-dataset
24,ham,Ffffffffff. Alright no way I can meet up with you sooner?,sms-spam-dataset
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,sms-spam-dataset
26,ham,Lol your always so convincing.,sms-spam-dataset
27,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,sms-spam-dataset
28,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",sms-spam-dataset
29,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,sms-spam-dataset
30,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",sms-spam-dataset
31,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,sms-spam-dataset
32,ham,K tell me anything about you.,sms-spam-dataset
33,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,sms-spam-dataset
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,sms-spam-dataset
35,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,sms-spam-dataset
36,ham,"Oops, I'll let you know when my roommate's done",sms-spam-dataset
37,ham,I see the letter B on my car,sms-spam-dataset
38,ham,Anything lor... U decide...,sms-spam-dataset
39,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,sms-spam-dataset
40,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,sms-spam-dataset
41,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",sms-spam-dataset
42,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,sms-spam-dataset
43,ham,WHO ARE YOU SEEING?,sms-spam-dataset
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,sms-spam-dataset
45,ham,No calls..messages..missed calls,sms-spam-dataset
46,ham,Didn't you get hep b immunisation in nigeria.,sms-spam-dataset
47,ham,"Fair enough, anything going on?",sms-spam-dataset
